time;V(Net-_R7-Pad2_);V(Net-_U1-+_);
0.0168716;-0.0216436;-0.0197466;
0.0168816;-0.0200787;-0.0196824;
0.0168916;-0.0184181;-0.0196107;
0.0169016;-0.0166686;-0.0195322;
0.0169116;-0.0148369;-0.0194472;
0.0169216;-0.0129304;-0.0193562;
0.0169316;-0.0109564;-0.0192598;
0.0169416;-0.00892295;-0.0191586;
0.0169516;-0.0068379;-0.0190531;
0.0169616;-0.00470953;-0.018944;
0.0169716;-0.00254624;-0.0188317;
0.0169816;-0.000356567;-0.0187169;
0.0169916;0.00185085;-0.0186002;
0.0170016;0.0040673;-0.0184823;
0.0170116;0.00628403;-0.0183637;
0.0170216;0.00849229;-0.0182451;
0.0170316;0.0106834;-0.0181271;
0.0170416;0.0128486;-0.0180102;
0.0170516;0.0149795;-0.0178952;
