time;V(Net-_R2-Pad1_);V(Net-_U1-+_);
0.00666398;-6.55301;-0.171492;
0.00666498;-6.58083;-0.172136;
0.00666598;-6.60838;-0.172772;
0.00666698;-6.63567;-0.173402;
0.00666798;-6.66269;-0.174024;
0.00666898;-6.68945;-0.17464;
0.00666998;-6.71595;-0.175249;
0.00667098;-6.74217;-0.175851;
0.00667198;-6.76813;-0.176446;
0.00667298;-6.79381;-0.177034;
0.00667398;-6.81923;-0.177616;
0.00667498;-6.84437;-0.17819;
0.00667598;-6.86924;-0.178757;
0.00667698;-6.89384;-0.179317;
0.00667798;-6.91817;-0.17987;
0.00667898;-6.94221;-0.180416;
0.00667998;-6.96598;-0.180955;
0.00668098;-6.98948;-0.181486;
0.00668198;-7.01269;-0.182011;
0.00668298;-7.03563;-0.182528;
0.00668398;-7.05828;-0.183038;
0.00668498;-7.08066;-0.183541;
0.00668598;-7.10275;-0.184036;
0.00668698;-7.12456;-0.184525;
0.00668798;-7.14608;-0.185006;
0.00668898;-7.16732;-0.18548;
0.00668998;-7.18828;-0.185946;
0.00669098;-7.20895;-0.186405;
0.00669198;-7.22933;-0.186857;
0.00669298;-7.24942;-0.187301;
0.00669398;-7.26923;-0.187738;
0.00669498;-7.28874;-0.188168;
0.00669598;-7.30797;-0.18859;
0.00669698;-7.3269;-0.189004;
0.00669798;-7.34555;-0.189412;
0.00669898;-7.3639;-0.189811;
0.00669998;-7.38195;-0.190203;
0.00670098;-7.39972;-0.190588;
0.00670198;-7.41719;-0.190965;
0.00670298;-7.43436;-0.191335;
0.00670398;-7.45124;-0.191697;
0.00670498;-7.46782;-0.192052;
0.00670598;-7.4841;-0.192399;
0.00670698;-7.50009;-0.192738;
0.00670798;-7.51577;-0.19307;
0.00670898;-7.53116;-0.193394;
0.00670998;-7.54625;-0.19371;
0.00671098;-7.56104;-0.194019;
0.00671198;-7.57552;-0.19432;
0.00671298;-7.58971;-0.194614;
0.00671398;-7.60359;-0.1949;
0.00671498;-7.61717;-0.195178;
0.00671598;-7.63044;-0.195448;
0.00671698;-7.64342;-0.195711;
0.00671798;-7.65609;-0.195966;
0.00671898;-7.66845;-0.196213;
0.00671998;-7.68051;-0.196453;
0.00672098;-7.69226;-0.196684;
0.00672198;-7.70371;-0.196908;
0.00672298;-7.71485;-0.197125;
0.00672398;-7.72568;-0.197333;
0.00672498;-7.7362;-0.197534;
0.00672598;-7.74642;-0.197727;
0.00672698;-7.75633;-0.197912;
0.00672798;-7.76593;-0.198089;
0.00672898;-7.77522;-0.198258;
0.00672998;-7.7842;-0.19842;
0.00673098;-7.79287;-0.198574;
0.00673198;-7.80123;-0.198719;
0.00673298;-7.80928;-0.198857;
0.00673398;-7.81702;-0.198988;
0.00673498;-7.82444;-0.19911;
0.00673598;-7.83156;-0.199224;
0.00673698;-7.83836;-0.199331;
0.00673798;-7.84486;-0.19943;
0.00673898;-7.85103;-0.199521;
0.00673998;-7.8569;-0.199604;
0.00674098;-7.86245;-0.199679;
0.00674198;-7.86769;-0.199746;
0.00674298;-7.87262;-0.199805;
0.00674398;-7.87724;-0.199857;
0.00674498;-7.88153;-0.199901;
0.00674598;-7.88552;-0.199936;
0.00674698;-7.88919;-0.199964;
0.00674798;-7.89255;-0.199984;
0.00674898;-7.89559;-0.199996;
0.00674998;-7.89832;-0.2;
0.00675098;-7.90073;-0.199996;
0.00675198;-7.90283;-0.199985;
0.00675298;-7.90462;-0.199965;
0.00675398;-7.90609;-0.199937;
0.00675498;-7.90724;-0.199902;
0.00675598;-7.90808;-0.199859;
0.00675698;-7.9086;-0.199808;
0.00675798;-7.90881;-0.199749;
0.00675898;-7.9087;-0.199682;
0.00675998;-7.90828;-0.199607;
0.00676098;-7.90754;-0.199524;
0.00676198;-7.90649;-0.199434;
0.00676298;-7.90512;-0.199335;
0.00676398;-7.90344;-0.199229;
0.00676498;-7.90144;-0.199115;
0.00676598;-7.89913;-0.198993;
0.00676698;-7.8965;-0.198863;
0.00676798;-7.89356;-0.198725;
