time;V(Net-_R1-Pad1_);V(Net-_R2-Pad2_);
0.0065583;-0.179078;3.37487;
0.0065593;-0.182008;3.43401;
0.0065603;-0.18493;3.49301;
0.0065613;-0.187845;3.55187;
0.0065623;-0.190753;3.6106;
0.0065633;-0.193653;3.66918;
0.0065643;-0.196546;3.72762;
0.0065653;-0.19943;3.78592;
0.0065663;-0.202307;3.84406;
0.0065673;-0.205176;3.90205;
0.0065683;-0.208037;3.95989;
0.0065693;-0.21089;4.01758;
0.0065703;-0.213734;4.0751;
0.0065713;-0.21657;4.13247;
0.0065723;-0.219397;4.18967;
0.0065733;-0.222216;4.24671;
0.0065743;-0.225026;4.30358;
0.0065753;-0.227827;4.36029;
0.0065763;-0.230619;4.41682;
0.0065773;-0.233402;4.47318;
0.0065783;-0.236175;4.52936;
0.0065793;-0.23894;4.58536;
0.0065803;-0.241695;4.64119;
0.0065813;-0.24444;4.69683;
0.0065823;-0.247176;4.75229;
0.0065833;-0.249902;4.80756;
0.0065843;-0.252618;4.86264;
0.0065853;-0.255324;4.91754;
0.0065863;-0.25802;4.97224;
0.0065873;-0.260706;5.02674;
0.0065883;-0.263381;5.08105;
0.0065893;-0.266047;5.13515;
0.0065903;-0.268701;5.18906;
0.0065913;-0.271345;5.24276;
0.0065923;-0.273979;5.29626;
0.0065933;-0.276601;5.34955;
0.0065943;-0.279213;5.40263;
0.0065953;-0.281813;5.45549;
0.0065963;-0.284403;5.50815;
0.0065973;-0.286981;5.56058;
0.0065983;-0.289548;5.6128;
0.0065993;-0.292104;5.6648;
0.0066003;-0.294647;5.71658;
0.0066013;-0.29718;5.76813;
0.0066023;-0.2997;5.81945;
0.0066033;-0.302209;5.87055;
0.0066043;-0.304706;5.92142;
0.0066053;-0.307191;5.97205;
0.0066063;-0.309663;6.02245;
0.0066073;-0.312124;6.07262;
0.0066083;-0.314572;6.12254;
0.0066093;-0.317008;6.17223;
0.0066103;-0.319431;6.22167;
0.0066113;-0.321841;6.27087;
0.0066123;-0.324239;6.31982;
0.0066133;-0.326624;6.36853;
0.0066143;-0.328997;6.41699;
0.0066153;-0.331356;6.46519;
0.0066163;-0.333702;6.51314;
0.0066173;-0.336035;6.56084;
0.0066183;-0.338354;6.60827;
0.0066193;-0.340661;6.65545;
